Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
5V,WJ127-5.0-2P,CONN-TH_2P-P5.00_CPC3703CTR,256.8448,-79.3604,90.0,top
Add12,WJ127-5.0-2P,CONN-TH_2P-P5.00_CPC3703CTR,130.2904,-83.8192,0.0,top
Add5,WJ127-5.0-2P,CONN-TH_2P-P5.00_CPC3703CTR,144.2906,-83.8196,0.0,top
D1,1N4001_C2456,DO-41_BD2.4-L4.7-P8.70-D0.9-RD,66.2536,-49.53,180.0,top
D2,1N4001_C2456,DO-41_BD2.4-L4.7-P8.70-D0.9-RD,86.8464,-49.6316,180.0,top
D3,1N4001_C2456,DO-41_BD2.4-L4.7-P8.70-D0.9-RD,109.6368,-49.4792,180.0,top
D4,1N4001_C2456,DO-41_BD2.4-L4.7-P8.70-D0.9-RD,130.89,-49.5808,180.0,top
D5,1N4001_C2456,DO-41_BD2.4-L4.7-P8.70-D0.9-RD,152.48,-49.5808,180.0,top
D6,1N4001_C2456,DO-41_BD2.4-L4.7-P8.70-D0.9-RD,174.6608,-49.4792,180.0,top
D7,1N4001_C2456,DO-41_BD2.4-L4.7-P8.70-D0.9-RD,197.0504,-49.4792,180.0,top
D8,1N4001_C2456,DO-41_BD2.4-L4.7-P8.70-D0.9-RD,219.6884,-49.6824,180.0,top
D9,1N4001_C2456,DO-41_BD2.4-L4.7-P8.70-D0.9-RD,241.126,-49.6824,180.0,top
Fuente,WJ127-5.0-2P,CONN-TH_2P-P5.00_CPC3703CTR,256.747,-62.8288,90.0,top
P1,WJ127-5.0-2P,CONN-TH_2P-P5.00_CPC3703CTR,46.2892,-83.8198,0.0,top
P10,Header-Female-2.54_1x2,HDR-TH_2P-P2.54-V-F,170.2308,-97.282,0.0,top
P11,Header-Female-2.54_1x2,HDR-TH_2P-P2.54-V-F,181.9158,-75.5766,-90.0,top
P12,Header-Female-2.54_1x3,HDR-TH_3P-P2.54-V-F,181.9154,-87.467,-90.0,top
P13,Header-Female-2.54_1x2,HDR-TH_2P-P2.54-V-F,162.9156,-88.0364,90.0,top
P2,WJ127-5.0-2P,CONN-TH_2P-P5.00_CPC3703CTR,60.2888,-83.82,0.0,top
P3,WJ127-5.0-2P,CONN-TH_2P-P5.00_CPC3703CTR,74.2892,-83.8198,0.0,top
P4,WJ127-5.0-2P,CONN-TH_2P-P5.00_CPC3703CTR,88.2896,-83.8202,0.0,top
P5,WJ127-5.0-2P,CONN-TH_2P-P5.00_CPC3703CTR,102.2898,-83.8198,0.0,top
P6,Header-Female-2.54_1x3,HDR-TH_3P-P2.54-V-F,39.8174,-68.2106,-90.0,top
P7,Header-Female-2.54_1x3,HDR-TH_3P-P2.54-V-F,39.8176,-59.1304,-90.0,top
P8,Header-Female-2.54_1x3,HDR-TH_3P-P2.54-V-F,39.8174,-50.0504,-90.0,top
P9,Header-Female-2.54_1x2,HDR-TH_2P-P2.54-V-F,180.2384,-97.1804,180.0,top
Q1,IRLZ44NPBF,TO-220-3_L10.0-W4.5-P2.54-T,61.9544,-54.61,90.0,top
Q10,Female header　2.54 1*5Ｐ,HDR-TH_5P-P2.54-V-F-B,256.8956,-99.314,90.0,top
Q2,IRLZ44NPBF,TO-220-3_L10.0-W4.5-P2.54-T,82.4268,-54.6608,90.0,top
Q3,IRLZ44NPBF,TO-220-3_L10.0-W4.5-P2.54-T,105.1344,-54.7116,90.0,top
Q4,IRLZ44NPBF,TO-220-3_L10.0-W4.5-P2.54-T,126.5212,-54.7116,90.0,top
Q5,IRLZ44NPBF,TO-220-3_L10.0-W4.5-P2.54-T,148.0604,-54.8132,90.0,top
Q6,IRLZ44NPBF,TO-220-3_L10.0-W4.5-P2.54-T,170.1584,-54.864,90.0,top
Q7,IRLZ44NPBF,TO-220-3_L10.0-W4.5-P2.54-T,192.6628,-54.9148,90.0,top
Q8,IRLZ44NPBF,TO-220-3_L10.0-W4.5-P2.54-T,215.3196,-54.9148,90.0,top
Q9,IRLZ44NPBF,TO-220-3_L10.0-W4.5-P2.54-T,236.7572,-55.0164,90.0,top
R1,1206W4F2200T5E,R1206,57.8836,-49.3268,0.0,top
R10,1206W4J0102T5E,R1206,191.1028,-92.4052,0.0,top
R11,1206W4J0102T5E,R1206,191.1028,-97.1804,0.0,top
R12,1206W4J0102T5E,R1206,249.472,-93.2688,90.0,top
R13,RTT066800FTP,R1206,248.622,-101.092,180.0,top
R14,Header-Female-2.54_1x2,HDR-TH_2P-P2.54-V-F,162.916,-75.5766,-90.0,top
R2,1206W4F2200T5E,R1206,78.4576,-49.53,0.0,top
R3,1206W4F2200T5E,R1206,101.1788,-49.4284,0.0,top
R4,1206W4F2200T5E,R1206,122.5012,-49.5808,0.0,top
R5,1206W4F2200T5E,R1206,144.0912,-49.4792,0.0,top
R6,1206W4F2200T5E,R1206,166.2028,-49.53,0.0,top
R7,1206W4F2200T5E,R1206,188.6056,-49.4284,0.0,top
R8,1206W4F2200T5E,R1206,211.2996,-49.53,0.0,top
R9,1206W4F2200T5E,R1206,232.788,-49.53,0.0,top
Speaker,WJ127-5.0-2P,CONN-TH_2P-P5.00_CPC3703CTR,116.29,-83.8194,0.0,top
U1,HC-PM254-5.0H-1X8PZ,CONN-TH_HC-PM254-1X08-8.5HZ,201.1172,-85.7504,-90.0,top
U2,HC-PM254-5.0H-1X8PZ,CONN-TH_HC-PM254-1X08-8.5HZ,218.7574,-85.7502,90.0,top
